UNHOLTZ-DICKIE Corporation Random Controller data in ASCII format
Setup Name:OCU X AXIS ATP 4CH     Run Name:OCUXATPFORCELIMIT4CH4     Save Number:1
Saved Date:10/11/2016    Saved Time:10:0:33 AM
Total time:0:2:1    Auto time:0:0:0
Test Mode:none    Test Status:STOPPED
Test Level:-20.0dB
DOF:200
Sigma Drive Limit: NONE
Frequency Resolution:5.000 Hz
Reference Frequency Range: 20.000 Hz - 2000.000 Hz
Chan,Sensitivity ,Coupling, Max. Range,Description
  # ,    mV/g    , (AC/DC),   grms    
  1 ,   10.01   ,   AC   ,  100.00   ,CONTROL
  2 ,   10.07   ,   AC   ,  100.00   ,CONTROL
  3 ,   10.45   ,   AC   ,  100.00   ,SPECIMENT PROTECT
  4 ,   10.00   ,   AC   ,  200.00   ,INLINE SUMMED FORCE CHANNEL

  Pt,Frequency,  Reference  ,   Control   ,    Drive    ,     HInv    ,    Chan:1   ,    Chan:2   ,    Chan:3   ,    Chan:4   
    ,  (Hz)   ,    (g²/Hz)  ,    (g²/Hz)  ,    (V²/Hz)  ,     (V/g)   ,    (g²/Hz)  ,    (g²/Hz)  ,    (g²/Hz)  ,    (g²/Hz)  

 139, 690.0000,   0.00040000,   0.00010826,   0.00000013,   0.03858167,   0.00011383,   0.00010270,   0.00011803,   0.00643085
 140, 695.0000,   0.00040000,   0.00012851,   0.00000018,   0.03790182,   0.00013472,   0.00012229,   0.00013955,   0.00697078
 141, 700.0000,   0.00040000,   0.00013906,   0.00000021,   0.03951646,   0.00014536,   0.00013276,   0.00015038,   0.00703406
 142, 705.0000,   0.00040000,   0.00013024,   0.00000021,   0.04130108,   0.00013571,   0.00012476,   0.00014016,   0.00611338
 143, 710.0000,   0.00040000,   0.00015844,   0.00000023,   0.03900657,   0.00016484,   0.00015203,   0.00016998,   0.00695807
 144, 715.0000,   0.00039838,   0.00018245,   0.00000026,   0.03730694,   0.00018979,   0.00017511,   0.00019556,   0.00758716
 145, 720.0000,   0.00039677,   0.00015890,   0.00000019,   0.03696701,   0.00016536,   0.00015245,   0.00017027,   0.00620728
 146, 725.0000,   0.00039518,   0.00017670,   0.00000027,   0.03713698,   0.00018384,   0.00016957,   0.00018923,   0.00643997
 147, 730.0000,   0.00039361,   0.00019470,   0.00000021,   0.03730694,   0.00020280,   0.00018659,   0.00020878,   0.00664550
 148, 735.0000,   0.00039206,   0.00023970,   0.00000027,   0.03696701,   0.00025013,   0.00022927,   0.00025757,   0.00766487
 149, 740.0000,   0.00039052,   0.00024257,   0.00000042,   0.04036628,   0.00025353,   0.00023161,   0.00026109,   0.00731812
 150, 745.0000,   0.00038900,   0.00021214,   0.00000029,   0.03815676,   0.00022209,   0.00020219,   0.00022883,   0.00600989
 151, 750.0000,   0.00038750,   0.00023143,   0.00000025,   0.03586225,   0.00024273,   0.00022013,   0.00025025,   0.00608961
 152, 755.0000,   0.00038601,   0.00029183,   0.00000044,   0.03790182,   0.00030654,   0.00027713,   0.00031619,   0.00723511
 153, 760.0000,   0.00038453,   0.00026654,   0.00000036,   0.03637214,   0.00028035,   0.00025273,   0.00028921,   0.00623600
 154, 765.0000,   0.00038308,   0.00027570,   0.00000033,   0.03467251,   0.00029047,   0.00026093,   0.00029986,   0.00603793
 155, 770.0000,   0.00038163,   0.00030234,   0.00000039,   0.03756189,   0.00031903,   0.00028564,   0.00032954,   0.00624250
 156, 775.0000,   0.00038020,   0.00032371,   0.00000052,   0.04036628,   0.00034211,   0.00030531,   0.00035351,   0.00632167
 157, 780.0000,   0.00037879,   0.00034159,   0.00000055,   0.04028130,   0.00036157,   0.00032162,   0.00037374,   0.00631930
 158, 785.0000,   0.00037739,   0.00036893,   0.00000053,   0.03892160,   0.00039093,   0.00034693,   0.00040412,   0.00647924
 159, 790.0000,   0.00037600,   0.00035255,   0.00000054,   0.04002636,   0.00037402,   0.00033109,   0.00038670,   0.00584210
 160, 795.0000,   0.00037463,   0.00038832,   0.00000044,   0.03535236,   0.00041248,   0.00036415,   0.00042654,   0.00608437
 161, 800.0000,   0.00037327,   0.00038346,   0.00000053,   0.03858167,   0.00040784,   0.00035907,   0.00042188,   0.00568049
 162, 805.0000,   0.00037193,   0.00039460,   0.00000054,   0.03934650,   0.00042021,   0.00036899,   0.00043491,   0.00552675
 163, 810.0000,   0.00037060,   0.00035598,   0.00000044,   0.03645712,   0.00037961,   0.00033234,   0.00039306,   0.00474526
 164, 815.0000,   0.00036928,   0.00034308,   0.00000037,   0.03399265,   0.00036640,   0.00031976,   0.00037941,   0.00432880
 165, 820.0000,   0.00036797,   0.00032422,   0.00000038,   0.03305786,   0.00034662,   0.00030183,   0.00035879,   0.00390197
 166, 825.0000,   0.00036668,   0.00033467,   0.00000038,   0.03339778,   0.00035801,   0.00031133,   0.00037059,   0.00382843
 167, 830.0000,   0.00036540,   0.00033190,   0.00000039,   0.03399265,   0.00035513,   0.00030867,   0.00036758,   0.00361838
 168, 835.0000,   0.00036413,   0.00034635,   0.00000041,   0.03331280,   0.00037068,   0.00032201,   0.00038358,   0.00358271
 169, 840.0000,   0.00036287,   0.00036876,   0.00000039,   0.03246299,   0.00039495,   0.00034256,   0.00040847,   0.00365295
 170, 845.0000,   0.00036162,   0.00035187,   0.00000039,   0.03288789,   0.00037734,   0.00032640,   0.00039013,   0.00333608
