Thermal Cycle Test,Logger Rev-1.0
Operator,11333
11333
Unit,OCU
Product Number,1F67700-1
Serial Number,0034
Date,20161013_1240
Position,1
Units in Chamber,*0034
*Thermocouples are placed on this unit
Comments,

Timestamp,Hours since start,TC1(°C),TC2(°C),TC3(°C),TC4(°C),Air(°C)
1:39:00.414 PM 10/13/2016,0.972223,-16.960542,-21.473578,-53.424021,-52.878736,24.714074
1:39:20.414 PM 10/13/2016,0.977778,-17.427150,-22.002930,-53.454289,-53.026718,24.631562
1:39:40.412 PM 10/13/2016,0.983333,-17.869583,-22.427501,-53.674265,-53.120228,24.735304
1:40:00.412 PM 10/13/2016,0.988889,-18.338018,-22.828518,-53.825432,-53.268350,24.852593
1:40:20.413 PM 10/13/2016,0.994445,-18.762368,-23.248215,-53.911776,-53.423371,24.778393
1:40:40.415 PM 10/13/2016,1.000001,-19.240233,-23.766602,-53.981537,-53.473467,24.507127
1:41:00.413 PM 10/13/2016,1.005556,-19.661552,-24.110622,-53.983006,-53.630116,24.390325
1:41:20.413 PM 10/13/2016,1.011111,-20.182381,-24.520862,-54.237280,-53.761585,24.164351
1:41:40.414 PM 10/13/2016,1.016667,-20.602735,-24.956284,-54.262063,-53.845807,24.020676
1:42:00.416 PM 10/13/2016,1.022223,-21.046657,-25.353692,-54.326274,-53.907430,24.398526
1:42:20.413 PM 10/13/2016,1.027778,-21.434001,-25.782647,-54.555889,-54.037115,24.494777
1:42:40.414 PM 10/13/2016,1.033334,-21.840243,-26.139175,-54.514842,-54.080755,24.434788
1:43:00.414 PM 10/13/2016,1.038889,-22.256867,-26.515243,-54.425250,-54.166371,24.533644
1:43:20.414 PM 10/13/2016,1.044445,-22.623107,-26.845592,-54.720605,-54.314858,24.333144
1:43:40.414 PM 10/13/2016,1.050001,-22.994940,-27.218326,-54.631273,-54.273884,24.256967
1:44:00.414 PM 10/13/2016,1.055556,-23.369283,-27.608397,-54.621978,-54.323106,24.352850
1:44:20.412 PM 10/13/2016,1.061111,-23.834698,-27.905783,-54.850191,-54.535235,24.552743
1:44:40.413 PM 10/13/2016,1.066667,-24.193543,-28.281959,-54.680834,-54.455465,24.730387
1:45:00.413 PM 10/13/2016,1.072222,-24.495495,-28.640698,-54.736474,-54.466863,24.792655
1:45:20.413 PM 10/13/2016,1.077778,-24.804905,-28.888192,-54.898166,-54.603340,24.789367
1:45:40.413 PM 10/13/2016,1.083334,-25.161177,-29.190731,-53.462430,-53.712014,24.596045
1:46:00.413 PM 10/13/2016,1.088889,-25.475659,-29.434872,-52.347667,-52.807032,24.313569
1:46:20.414 PM 10/13/2016,1.094445,-25.844137,-29.747429,-54.051963,-53.822316,24.401795
1:46:40.412 PM 10/13/2016,1.100000,-26.236375,-30.110477,-54.478100,-54.195866,24.485011
1:47:00.413 PM 10/13/2016,1.105556,-26.542485,-30.349182,-53.267356,-53.433397,24.365667
1:47:20.414 PM 10/13/2016,1.111112,-26.855692,-30.646417,-53.506865,-53.490293,24.190724
1:47:40.414 PM 10/13/2016,1.116667,-27.156453,-30.973116,-54.516797,-54.115774,24.122982
1:48:00.414 PM 10/13/2016,1.122223,-27.533776,-31.278648,-54.186049,-54.017825,24.437049
1:48:20.414 PM 10/13/2016,1.127778,-27.815485,-31.538354,-53.494196,-53.541480,24.483072
1:48:40.412 PM 10/13/2016,1.133333,-28.146496,-31.837529,-54.210487,-53.927542,24.591371
1:49:00.413 PM 10/13/2016,1.138889,-28.490537,-32.104902,-54.723166,-54.402041,24.793915
1:49:20.412 PM 10/13/2016,1.144444,-28.780049,-32.372516,-53.837001,-53.826841,24.626660
1:49:40.413 PM 10/13/2016,1.150000,-29.022800,-32.605346,-53.858384,-53.715823,24.650876
1:50:00.413 PM 10/13/2016,1.155556,-29.334832,-32.917148,-54.818418,-54.384275,24.743272
1:50:20.413 PM 10/13/2016,1.161111,-29.681344,-33.234404,-54.559526,-54.360684,24.701953
1:50:40.414 PM 10/13/2016,1.166667,-29.977673,-33.423178,-53.678669,-53.721992,24.661948
1:51:00.412 PM 10/13/2016,1.172222,-30.208574,-33.685737,-54.465059,-54.153102,24.410498
1:51:20.413 PM 10/13/2016,1.177778,-30.528914,-33.981227,-55.100603,-54.634351,24.152325
1:51:40.412 PM 10/13/2016,1.183333,-30.839740,-34.222484,-54.409329,-54.250407,24.379682
1:52:00.413 PM 10/13/2016,1.188889,-31.095205,-34.456132,-54.077544,-53.946982,24.448973
1:52:20.412 PM 10/13/2016,1.194444,-31.375911,-34.720128,-55.122872,-54.638180,24.510195
1:52:40.414 PM 10/13/2016,1.200001,-31.683303,-35.001710,-55.034384,-54.667990,24.508973
1:53:00.413 PM 10/13/2016,1.205556,-31.916825,-35.216250,-54.084450,-54.071566,24.318675
