Burn-In Test,Logger Rev-1.0
Operator,ddenoff
Unit,OCU
Product Number,1F67700-1
Serial Number,0034
Date,20161012_0056
Position,1
Units in Chamber,*0034
*Thermocouples are placed on this unit
Comments,

Timestamp,Hours since start,TC1(°C),TC2(°C),TC3(°C),TC4(°C),Air(°C)
2:13:40.419 AM 10/12/2016,1.283335,-39.453111,-41.249723,-50.412404,-49.793475,22.932844
2:14:00.432 AM 10/12/2016,1.288894,-39.556011,-41.366139,-50.760610,-50.102281,23.010146
2:14:20.420 AM 10/12/2016,1.294446,-39.735607,-41.524826,-51.805278,-50.758201,22.942381
2:14:40.434 AM 10/12/2016,1.300006,-39.842070,-41.618692,-50.575578,-49.901791,22.989904
2:15:00.434 AM 10/12/2016,1.305561,-39.936778,-41.707202,-50.821711,-50.243687,22.971503
2:15:20.432 AM 10/12/2016,1.311116,-40.093527,-41.868208,-51.845967,-50.824984,22.877960
2:15:40.433 AM 10/12/2016,1.316672,-40.188543,-41.936506,-50.582783,-49.923003,22.725436
2:16:00.433 AM 10/12/2016,1.322228,-40.308566,-42.043538,-50.791722,-50.214274,22.802594
2:16:20.443 AM 10/12/2016,1.327786,-40.442179,-42.191708,-51.810586,-50.774753,22.765386
2:16:40.441 AM 10/12/2016,1.333341,-40.558717,-42.259495,-50.578244,-50.026928,23.017307
2:17:00.432 AM 10/12/2016,1.338894,-40.653034,-42.335477,-50.862425,-50.233288,23.040509
2:17:20.434 AM 10/12/2016,1.344450,-40.789854,-42.449631,-51.839953,-50.770175,23.154263
2:17:40.434 AM 10/12/2016,1.350006,-40.880966,-42.544863,-50.607296,-49.915710,23.143077
2:18:00.440 AM 10/12/2016,1.355563,-40.967538,-42.654158,-50.875049,-50.186861,23.082172
2:18:20.441 AM 10/12/2016,1.361119,-41.116313,-42.740505,-51.741819,-50.678819,23.166139
2:18:40.432 AM 10/12/2016,1.366672,-41.202802,-42.793221,-50.538477,-50.015875,23.081226
2:19:00.430 AM 10/12/2016,1.372227,-41.294373,-42.873041,-50.922468,-50.265654,23.032411
2:19:20.415 AM 10/12/2016,1.377778,-41.442502,-43.041769,-51.831823,-50.724434,23.059299
2:19:40.433 AM 10/12/2016,1.383339,-41.521842,-43.087013,-50.638303,-50.018690,22.965254
2:20:00.433 AM 10/12/2016,1.388894,-41.638012,-43.181508,-50.996760,-50.369781,22.898071
2:20:20.439 AM 10/12/2016,1.394452,-41.801815,-43.323962,-51.854773,-50.836564,22.884975
2:20:40.433 AM 10/12/2016,1.400006,-41.854618,-43.384642,-50.664172,-50.058923,22.927287
2:21:00.433 AM 10/12/2016,1.405561,-42.031923,-43.573828,-51.130632,-50.497238,22.911201
2:21:20.441 AM 10/12/2016,1.411119,-42.156313,-43.650988,-51.909407,-50.876388,22.738359
2:21:40.431 AM 10/12/2016,1.416672,-42.230485,-43.714556,-50.698042,-50.146588,22.671006
2:22:00.417 AM 10/12/2016,1.422223,-42.352225,-43.798403,-51.112121,-50.385669,22.753330
2:22:20.419 AM 10/12/2016,1.427779,-42.434527,-43.905194,-51.835080,-50.756768,22.732484
2:22:40.421 AM 10/12/2016,1.433336,-42.484774,-43.927258,-50.719304,-50.094186,22.851076
2:23:00.433 AM 10/12/2016,1.438895,-42.583529,-43.983671,-51.114552,-50.530435,22.997676
2:23:20.434 AM 10/12/2016,1.444450,-42.685954,-44.133262,-51.916891,-50.942658,23.092336
