Thermal Cycle Test,Logger Rev-1.0,,,,,
Operator,d gaines,,,,,
Unit,OCU,,,,,
Product Number,1F67700-1,,,,,
Serial Number,34,,,,,
Date,20161018_1715,,,,,
Position,1,,,,,
Units in Chamber,*0034,,,,,
*Thermocouples are placed on this unit,,,,,,
Comments,,,,,,
,,,,,,
Timestamp,Hours since start,TC1(°C),TC2(°C),TC3(°C),TC4(°C),Air(°C)
39:53.4,1.4,21.585081,21.930479,12.719373,13.111045,24.121388
40:13.4,1.405555,21.709413,22.111423,16.206589,17.136809,24.465828
40:33.4,1.411111,21.707561,22.149766,17.429545,18.380334,24.67001
40:53.4,1.416667,21.763126,22.171172,17.915724,19.037349,24.532461
41:13.4,1.422222,21.712819,22.070113,15.301294,16.036817,24.479956
41:33.4,1.427778,21.781155,22.10416,15.058252,15.783767,24.795714
41:53.4,1.433334,21.698041,22.125278,16.200781,16.999546,24.637285
42:13.4,1.438889,21.514651,21.947302,13.56313,14.121544,24.298425
42:33.4,1.444444,21.612201,22.039321,14.761189,15.566726,24.196582
42:53.4,1.45,21.503876,21.875755,12.15293,12.67519,24.376514
43:13.4,1.455555,21.603414,22.026867,16.306625,17.491622,24.385359
43:33.4,1.461111,21.540793,22.005281,15.332965,16.194157,23.513579
43:53.4,1.466667,21.587982,22.03183,14.735413,15.551942,22.865106
44:13.4,1.472222,21.53146,21.888092,12.944865,13.76504,22.310651
44:33.4,1.477778,21.59694,22.062482,16.587275,17.583598,21.779036
44:53.4,1.483333,21.584672,22.01898,15.686671,16.728563,21.892665
45:13.4,1.488889,21.6262,22.062065,16.918465,17.889298,21.623932
45:33.4,1.494444,21.473356,21.887306,12.741964,13.296569,21.706429
45:53.4,1.5,21.499136,21.853883,12.924111,13.687541,21.662902
46:13.4,1.505556,21.583896,22.032888,16.008483,16.955977,21.567113
46:33.4,1.511111,21.579668,21.994607,15.215532,16.079745,21.502812
46:53.4,1.516667,21.510382,21.879987,12.092666,12.712765,21.449374
47:13.4,1.522222,21.624687,22.029572,15.573371,16.551549,21.280726
47:33.4,1.527778,21.684315,22.097482,16.44336,17.6106,21.218075
47:53.4,1.533333,21.537747,21.987083,13.799217,14.475894,21.327668
48:13.4,1.538889,21.466402,21.894151,11.862138,12.389711,21.245782
48:33.4,1.544445,21.603242,22.00581,15.632428,16.765749,21.357225
48:53.4,1.55,21.58863,22.030091,16.201195,17.350619,21.371142
49:13.4,1.555556,21.496557,21.948422,14.710931,15.595261,21.433087
49:33.4,1.561111,21.384923,21.817835,11.863629,12.541203,21.362409
49:53.4,1.566667,21.487252,21.861959,14.539846,15.406687,21.221812
50:13.4,1.572222,21.543262,21.90242,14.945471,15.982157,21.046157
50:33.4,1.577778,21.49602,21.937579,14.633626,15.448628,20.986297
50:53.4,1.583333,21.462554,21.848781,13.087262,13.82875,20.962843
51:13.4,1.588889,21.442233,21.796324,11.933543,12.525174,20.993476
51:33.4,1.594444,21.44694,21.812914,12.631059,13.334275,20.888675
51:53.4,1.6,21.531891,21.932499,15.21932,16.190919,21.211388
52:13.4,1.605556,21.414272,21.780722,12.625405,13.27615,20.973554
52:33.4,1.611112,21.527853,21.858167,14.628948,15.758516,21.139094
52:53.4,1.616667,21.556412,21.942931,15.537384,16.517167,21.135422
53:13.4,1.622222,21.470767,21.777609,12.30636,12.959129,20.943227
53:33.4,1.627778,21.535064,21.952969,16.401062,17.507781,20.852564
53:53.4,1.633338,21.415765,21.837386,14.40293,15.253535,20.819259
54:13.4,1.638889,21.413992,21.773429,14.099057,15.081702,20.720165
54:33.4,1.644444,21.444998,21.789254,14.413085,15.37904,20.778843
54:53.4,1.65,21.45773,21.864981,15.506644,16.568379,20.816858
55:13.4,1.655556,21.353473,21.725012,13.421588,14.057571,20.683508
55:33.4,1.661111,21.346513,21.630997,11.901431,12.559957,20.617339
55:53.4,1.666667,21.478767,21.87197,16.795528,17.91869,20.729113
56:13.4,1.672223,21.371656,21.68371,12.612342,13.196522,20.776849
56:33.4,1.677778,21.547143,21.955322,17.909591,19.20366,20.838431
56:53.4,1.683333,21.469589,21.859239,15.402983,16.304201,20.910299
57:13.4,1.688889,21.475495,21.858699,15.857363,16.711823,20.867993
57:33.4,1.694444,21.407328,21.76364,13.108784,13.843962,21.066427
57:53.4,1.7,21.539474,21.961218,17.348662,18.355586,20.850337
58:13.4,1.705555,21.390615,21.812686,14.872124,15.702074,20.639428
58:33.4,1.711111,21.360227,21.721629,13.372282,14.136707,20.761637
58:53.4,1.716667,21.501015,21.954507,17.579255,18.619271,20.696221
59:13.4,1.722222,21.458348,21.887288,15.638386,16.505581,20.722372
59:33.4,1.727779,21.363401,21.765164,12.662255,13.231861,20.688213
59:53.4,1.733333,21.504533,21.967857,17.052403,18.122323,20.815925
00:13.4,1.738889,21.464298,21.91222,15.562316,16.377093,20.899537
00:33.4,1.744444,21.4528,21.83353,13.922491,14.737903,20.99618
00:53.4,1.75,21.596246,22.029103,17.644005,18.755041,20.700267
01:13.4,1.755558,21.543605,22.009399,16.411677,17.29547,20.929341
01:33.4,1.761111,21.488065,21.93018,14.578814,15.269297,20.933444
01:53.4,1.766666,21.439474,21.838752,12.995307,13.578716,20.776536
02:13.4,1.772222,21.536169,21.987822,16.966566,18.02579,20.813694
02:33.4,1.777778,21.522406,21.978482,17.58436,18.657243,20.814487
02:53.4,1.783333,21.518569,21.974264,16.98626,17.935825,20.669729
03:13.4,1.788889,21.383677,21.806016,13.200472,13.685197,20.684148
03:33.4,1.794445,21.528477,21.965053,16.672726,17.672504,20.770673
03:53.4,1.8,21.505735,21.899491,14.574745,15.467229,20.689872
04:13.4,1.805555,21.512099,21.923795,14.897093,15.698212,20.717117
04:33.4,1.811111,21.523575,21.970324,15.879222,16.786972,20.849713
04:53.4,1.816667,21.450674,21.869607,13.351858,14.070751,20.683255
05:13.4,1.822222,21.60476,22.018627,16.514035,17.526691,20.771994
05:33.4,1.827778,21.636976,22.057755,16.715855,17.684384,20.970792
05:53.4,1.833334,21.500339,21.962915,16.046137,16.873343,20.897703
06:13.4,1.838889,21.441103,21.880851,14.029562,14.7083,20.720656
06:33.4,1.844444,21.429319,21.842063,13.729312,14.37362,20.880524
06:53.4,1.85,21.485029,21.831307,14.345117,15.145321,20.739959
07:13.4,1.855558,21.483738,21.903459,15.784518,16.670352,20.781226
07:33.4,1.861111,21.490771,21.884393,15.64213,16.716579,21.591956
07:53.4,1.866666,21.432597,21.760204,13.670735,14.353632,22.564488
08:13.4,1.872222,21.570116,21.870189,16.991374,18.0878,23.118792
08:33.4,1.877778,21.531949,21.86232,16.525765,17.412731,23.456867
08:53.4,1.883333,21.437938,21.667911,13.152362,13.742659,23.832357
09:13.4,1.888889,21.654637,21.858783,16.776835,17.841596,24.13811
09:33.4,1.894444,21.577245,21.809593,15.733025,16.557543,24.384675
09:53.4,1.9,21.497312,21.664799,14.058948,14.843889,24.361481
10:13.4,1.905556,21.623027,21.860801,18.624893,19.983324,24.532651
10:33.4,1.911112,21.642162,21.858,17.360096,18.355842,24.925804
10:53.4,1.916667,21.499934,21.661267,13.779356,14.367302,24.741713
11:13.4,1.922222,21.555534,21.739381,17.195217,18.302835,24.711196
11:33.4,1.927777,21.119601,21.231031,6.886516,6.720279,24.770803
11:53.4,1.933333,20.698919,20.749532,2.112802,1.473233,24.35808
12:13.4,1.938889,20.232409,20.257594,-0.858186,-1.327996,24.2779
12:33.4,1.944445,19.763982,19.781652,-3.990595,-4.590497,23.914143
12:53.4,1.950001,19.352203,19.250804,-6.705092,-7.251003,23.004615
13:13.4,1.955556,18.766568,18.666312,-9.171857,-9.515467,22.505305
13:33.4,1.961113,18.161642,18.038029,-11.963936,-12.21483,22.286905
13:53.4,1.966668,17.495703,17.341132,-14.365587,-14.545021,22.029982
14:13.4,1.972228,16.94897,16.745563,-16.34646,-16.875607,21.812843
14:33.4,1.977779,16.45661,16.115643,-18.460225,-18.724283,21.762466
14:53.4,1.983335,15.821614,15.405711,-20.327628,-20.772954,21.726833
15:13.4,1.988891,15.128477,14.715873,-22.479394,-22.563557,22.023151
